code,timestamp,company
000037,2016-04-05,*ST南电A
000037,2006-10-09,深南电A
000037,2006-03-28,G南电
000037,1994-07-01,深南电A
000039,2006-10-09,中集集团
000039,2006-05-24,G中集
000039,1998-01-01,中集集团
000039,1994-04-08,深中集A
000040,2016-07-15,东旭蓝天
000040,2011-06-20,宝安地产
000040,2006-10-09,深鸿基
000040,2006-02-28,G深鸿基
000040,2005-05-26,深鸿基A
000040,2004-05-10,ST鸿基
000040,2003-05-12,*ST鸿基
000040,2003-04-18,ST鸿基
000040,1994-08-08,深鸿基A
000042,2014-03-14,中洲控股
000042,2006-10-09,深长城
000042,2006-09-01,G深长城
000042,1994-09-21,深长城A
000045,2006-10-09,深纺织A
000045,2006-09-11,G深纺A
000045,1994-08-15,深纺织A
000046,2023-05-05,*ST泛海
000046,2014-04-30,泛海控股
000046,2006-10-09,泛海建设
000046,2006-03-24,G泛海
000046,2005-12-10,泛海建设
000046,1999-08-04,光彩建设
000046,1994-09-12,南油物业
000048,2020-04-09,京基智农
000048,2019-10-15,康达尔
000048,2018-07-02,*ST康达
000048,2012-05-31,康达尔
000048,2008-05-20,ST康达尔
000048,2007-04-26,*ST康达
000048,2006-10-09,康达尔A
000048,2006-02-14,G康达尔
000048,2005-05-13,康达尔A
000048,2001-10-29,ST康达尔
000048,2001-05-08,ST中科
000048,1999-12-13,中科创业
000048,1994-11-01,康达尔A
000049,2006-10-09,德赛电池
000049,2005-12-27,G德赛
000049,2005-06-28,德赛电池
000049,2005-03-16,深万山
000049,2004-02-12,ST万山
000049,1999-06-10,深万山A
000049,1998-06-10,ST深万山
000049,1995-03-20,深万山A
000050,2006-10-09,深天马A
000050,2006-04-26,G深天马
000050,1995-03-15,深天马A
000055,2010-01-22,方大集团
000055,2006-10-09,方大A
000055,2006-04-10,G方大A
000055,2002-05-08,方大A
000055,1996-04-15,深圳方大
000056,2015-09-18,皇庭国际
000056,2014-03-31,深国商
000056,2012-04-23,*ST国商
000056,2006-10-09,深国商
000056,2006-01-06,G深国商
000056,1996-07-08,深国商
000058,2009-06-30,深赛格
000058,2008-05-20,ST赛格
000058,2007-04-27,*ST赛格
000058,2006-10-09,深赛格
000058,2006-06-14,G赛格
000058,1996-12-26,深赛格
000059,2016-04-20,华锦股份
000059,2015-04-15,*ST华锦
000059,2014-03-05,华锦股份
000059,2006-10-09,辽通化工
000059,2005-10-25,G辽通
000059,1997-01-30,辽通化工
000060,2006-10-09,中金岭南
000060,2005-11-18,G中金
000060,2000-05-17,中金岭南
000060,1997-01-23,有色中金
000061,2006-10-09,农产品
000061,2005-09-12,G农产品
000061,1997-01-10,农产品
000062,2006-10-09,深圳华强
000062,2006-05-15,G华强
000062,1997-01-30,深圳华强
000063,2006-10-09,中兴通讯
000063,2005-12-29,G中兴
000063,1997-11-18,中兴通讯
000065,2006-10-09,北方国际
000065,2005-11-11,G北方
000065,2001-03-21,北方国际
000065,1998-06-05,深圳西林
000066,2017-03-29,中国长城
000066,2006-10-09,长城电脑
000066,2006-05-15,G长城
000066,1997-06-26,长城电脑
000068,2016-04-12,华控赛格
000068,2015-03-25,*ST华赛
000068,2013-05-21,华控赛格
000068,2013-03-13,ST华赛
000068,2010-04-01,ST三星
000068,2008-01-14,赛格三星
000068,2006-10-09,S三星
000068,1998-10-08,赛格三星
000068,1997-06-11,赛格中康
000069,2006-10-09,华侨城A
000069,2006-01-06,G华侨城
000069,1997-09-10,华侨城A
000070,2006-10-09,特发信息
000070,2006-01-10,G特发
000070,2000-05-11,特发信息
000078,2006-10-09,海王生物
000078,2006-04-13,G海王
000078,1998-12-18,海王生物
000088,2006-10-09,盐田港
000088,2006-03-17,G盐田港
000088,1997-07-28,盐田港A
000089,2006-10-09,深圳机场
000089,2005-12-16,G深机场
000089,1998-04-20,深圳机场
000090,2014-04-10,天健集团
000090,2006-10-09,深天健
000090,2006-01-11,G天健
000090,1999-07-21,深天健
000096,2006-10-09,广聚能源
000096,2006-02-06,G广聚
000096,2000-07-24,广聚能源
000099,2006-10-09,中信海直
000099,2006-02-07,G海直
000099,2000-07-31,中信海直
000100,2020-02-07,TCL科技
000100,2008-03-28,TCL集团
000100,2007-05-08,*STTCL
000100,2006-10-09,TCL集团
000100,2006-04-20,GTCL集团
000100,2004-01-30,TCL集团
000151,2006-10-09,中成股份
000151,2006-03-31,G中成
000151,2000-09-06,中成股份
000153,2006-10-09,丰原药业
000153,2006-01-13,G丰原药
000153,2003-03-05,丰原药业
000153,2000-09-20,新力药业
000155,2018-10-08,川能动力
000155,2017-12-18,川化股份
000155,2015-05-04,*ST川化
000155,2015-04-02,ST川化
000155,2013-06-06,川化股份
000155,2012-04-27,*ST川化
000155,2006-10-09,川化股份
000155,2006-03-21,G川化
000155,2000-09-26,川化股份
000156,2012-10-19,华数传媒
000156,2007-02-13,*ST嘉瑞
000156,2006-10-09,S*ST嘉瑞
000156,2005-03-22,*ST嘉瑞
000156,2004-07-23,嘉瑞新材
000156,2000-09-06,安塑股份
000157,2006-10-09,中联重科
000157,2006-07-14,G中联
000157,2000-10-12,中联重科
000158,2017-10-27,常山北明
000158,2006-10-09,常山股份
000158,2006-01-13,G常山
000158,2000-07-24,常山股份
000159,2006-10-09,国际实业
000159,2006-07-20,G新国际
000159,2000-09-26,国际实业
000166,2015-01-26,申万宏源
000301,2018-09-27,东方盛虹
000301,2008-07-30,东方市场
000301,2006-10-09,丝绸股份
000301,2006-05-24,G丝绸
000301,2000-05-29,丝绸股份
000333,2013-09-18,美的集团
000338,2007-04-30,潍柴动力
000400,2006-10-09,许继电气
000400,2005-11-17,G许继
000400,1997-04-18,许继电气
000401,2006-10-09,冀东水泥
000401,2006-05-24,G冀东
000401,1996-06-14,冀东水泥
000402,2006-10-09,金融街
000402,2006-04-05,G金融街
000402,2000-08-08,金融街
000402,1996-06-26,重庆华亚
000403,2021-04-02,派林生物
000403,2019-11-19,双林生物
000403,2018-11-22,振兴生化
000403,2014-11-07,ST生化
000403,2013-02-08,*ST生化
000403,2006-10-09,S*ST生化
000403,2006-05-09,*ST生化
000403,2000-03-31,三九生化
000403,1996-06-28,宜春工程
000404,2018-07-13,长虹华意
000404,2006-12-20,华意压缩
000404,2006-10-09,S华意
000404,1996-06-19,华意压缩
000407,2006-10-09,胜利股份
000407,2006-07-11,G胜利
000407,1996-07-03,胜利股份
000408,2021-12-08,藏格矿业
000408,2021-05-12,藏格控股
000408,2020-05-06,*ST藏格
000408,2017-06-27,藏格控股
000408,2017-05-23,金谷源
000408,2016-04-28,*ST金源
000408,2012-11-28,金谷源
000408,2011-05-26,ST金谷源
000408,2011-01-18,*ST金谷
000408,2010-04-28,*ST玉源
000408,2007-10-31,ST玉源
000408,2006-10-09,*ST玉源
000408,2006-07-03,G*ST玉源
